date	AAPL	SPY	TSLA	MSFT	M	MCD
2023-09-29	169.55	417.87	250.22	311.06	10.74	251.35
2023-10-31	169.11	408.79	200.84	333.09	11.27	250.13
2023-11-30	188.36	446.14	240.08	374.04	14.68	270.51
2023-12-29	190.91	466.5	248.48	371.21	18.78	284.59
2024-01-31	182.85	473.93	187.29	392.47	17.07	280.96
2024-02-29	179.46	498.67	201.88	409.08	16.28	282.13
2024-03-28	170.26	514.97	175.79	416.08	18.81	272.16
2024-04-30	169.12	494.21	183.28	385.04	17.34	263.56
2024-05-31	191.14	519.21	178.08	411.3	18.33	249.9
2024-06-28	209.4	537.52	197.88	442.82	18.24	247.59
2024-07-31	220.8	544.03	232.07	414.49	16.41	257.85
2024-08-30	227.94	556.75	214.11	414.03	14.79	280.44
2024-09-30	231.92	568.44	261.63	427.09	15.08	297.56
2024-10-31	224.86	563.37	249.85	403.32	14.74	285.45
2024-11-29	236.49	596.96	345.16	421.15	15.61	289.26
2024-12-31	249.53	582.6	403.84	419.2	16.45	284.98
2025-01-31	235.17	598.25	404.6	412.79	15.14	283.81
2025-02-28	241.25	590.65	292.98	395.61	13.94	303.11
2025-03-31	221.59	557.74	259.16	374.09	12.37	308.85
2025-04-30	211.98	552.91	282.16	393.89	11.25	316.05
2025-05-30	200.62	587.65	346.46	459.6	11.71	310.32
2025-06-30	204.94	617.85	317.66	496.59	11.66	290.52
2025-07-31	207.33	632.08	308.27	532.62	12.63	298.38
2025-08-29	232.14	645.05	333.87	506.69	13.23	311.77
