date	AAPL	SPY	TSLA	MSFT	M	MCD
2023-10-31	-0.002595	-0.021729	-0.197346	0.070822	0.049348	-0.004854
2023-11-30	0.113831	0.091367	0.195379	0.12294	0.302573	0.081478
2023-12-29	0.013538	0.045636	0.034988	-0.007566	0.279292	0.05205
2024-01-31	-0.042219	0.015927	-0.246257	0.057272	-0.091054	-0.012755
2024-02-29	-0.01854	0.052202	0.077901	0.042322	-0.04628	0.004164
2024-03-28	-0.051265	0.032687	-0.129235	0.017112	0.155405	-0.035338
2024-04-30	-0.006696	-0.040313	0.042608	-0.074601	-0.07815	-0.031599
2024-05-31	0.130203	0.050586	-0.028372	0.068201	0.057093	-0.051829
2024-06-28	0.095532	0.035265	0.111186	0.076635	-0.00491	-0.009244
2024-07-31	0.054441	0.012111	0.172781	-0.063976	-0.100329	0.041439
2024-08-30	0.032337	0.023381	-0.07739	-0.00111	-0.09872	0.087609
2024-09-30	0.017461	0.020997	0.221942	0.031544	0.019608	0.061047
2024-10-31	-0.030442	-0.008919	-0.045025	-0.055656	-0.022546	-0.040698
2024-11-29	0.051721	0.059623	0.381469	0.044208	0.059023	0.013347
2024-12-31	0.05514	-0.024055	0.170008	-0.00463	0.053812	-0.014796
2025-01-31	-0.057548	0.026862	0.001882	-0.015291	-0.079635	-0.004106
2025-02-28	0.025854	-0.012704	-0.275877	-0.041619	-0.07926	0.068003
2025-03-31	-0.081492	-0.055718	-0.115435	-0.054397	-0.112626	0.018937
2025-04-30	-0.043368	-0.00866	0.088748	0.052928	-0.090542	0.023312
2025-05-30	-0.05359	0.062831	0.227885	0.166823	0.040889	-0.01813
2025-06-30	0.021533	0.051391	-0.083126	0.080483	-0.00427	-0.063805
2025-07-31	0.011662	0.023031	-0.02956	0.072555	0.08319	0.027055
2025-08-29	0.119664	0.02052	0.083044	-0.048684	0.047506	0.044876
